framework              , test                                                         , time    
Oby                    , updateComputations1to1                                       , 40.03   
Oby                    , updateComputations2to1                                       , 39.04   
Oby                    , updateComputations4to1                                       , 37.39   
Oby                    , updateComputations1000to1                                    , 38.01   
Oby                    , updateComputations1to2                                       , 38.25   
Oby                    , updateComputations1to4                                       , 35.94   
Oby                    , updateComputations1to1000                                    , 36.70   
Oby                    , 10x5 - 2 sources - read 20% (simple component)               , 232.86  
Oby                    , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 211.86  
Oby                    , 1000x12 - 4 sources - dynamic (large web app)                , 395.29  
Oby                    , 1000x5 - 25 sources (wide dense)                             , 376.40  
Oby                    , 5x500 - 3 sources (deep)                                     , 184.49  
Signia                 , avoidablePropagation                                         , 316.91  
Signia                 , broadPropagation                                             , 344.29  
Signia                 , deepPropagation                                              , 102.88  
Signia                 , diamond                                                      , 253.22  
Signia                 , mux                                                          , 344.34  
Signia                 , repeatedObservers                                            , 51.16   
Signia                 , triangle                                                     , 80.05   
Signia                 , unstable                                                     , 56.55   
Signia                 , molBench                                                     , 296.73  
Signia                 , createDataSignals                                            , 39.85   
Signia                 , createComputations0to1                                       , 40.43   
Signia                 , createComputations1to1                                       , 43.75   
Signia                 , createComputations2to1                                       , 43.43   
Signia                 , createComputations4to1                                       , 39.30   
Signia                 , createComputations1000to1                                    , 38.07   
Signia                 , createComputations1to2                                       , 41.38   
Signia                 , createComputations1to4                                       , 44.37   
Signia                 , createComputations1to8                                       , 42.53   
Signia                 , createComputations1to1000                                    , 39.42   
Signia                 , updateComputations1to1                                       , 49.93   
Signia                 , updateComputations2to1                                       , 43.39   
Signia                 , updateComputations4to1                                       , 41.70   
Signia                 , updateComputations1000to1                                    , 38.00   
Signia                 , updateComputations1to2                                       , 45.28   
Signia                 , updateComputations1to4                                       , 42.59   
Signia                 , updateComputations1to1000                                    , 40.13   
Signia                 , 10x5 - 2 sources - read 20% (simple component)               , 222.26  
Signia                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 174.15  
Signia                 , 1000x12 - 4 sources - dynamic (large web app)                , 2824.75 
Signia                 , 1000x5 - 25 sources (wide dense)                             , 1661.30 
Signia                 , 5x500 - 3 sources (deep)                                     , 136.43  
SolidJS                , avoidablePropagation                                         , 318.58  
SolidJS                , broadPropagation                                             , 390.61  
SolidJS                , deepPropagation                                              , 147.67  
SolidJS                , diamond                                                      , 319.52  
SolidJS                , mux                                                          , 297.70  
SolidJS                , repeatedObservers                                            , 90.64   
SolidJS                , triangle                                                     , 112.10  
SolidJS                , unstable                                                     , 106.46  
SolidJS                , molBench                                                     , 375.57  
SolidJS                , createDataSignals                                            , 47.61   
SolidJS                , createComputations0to1                                       , 42.27   
SolidJS                , createComputations1to1                                       , 56.20   
SolidJS                , createComputations2to1                                       , 60.99   
SolidJS                , createComputations4to1                                       , 37.82   
SolidJS                , createComputations1000to1                                    , 41.94   
SolidJS                , createComputations1to2                                       , 45.67   
SolidJS                , createComputations1to4                                       , 46.05   
SolidJS                , createComputations1to8                                       , 42.80   
SolidJS                , createComputations1to1000                                    , 41.36   
SolidJS                , updateComputations1to1                                       , 66.56   
SolidJS                , updateComputations2to1                                       , 52.39   
SolidJS                , updateComputations4to1                                       , 46.11   
SolidJS                , updateComputations1000to1                                    , 54.40   
SolidJS                , updateComputations1to2                                       , 59.76   
SolidJS                , updateComputations1to4                                       , 57.83   
SolidJS                , updateComputations1to1000                                    , 54.98   
SolidJS                , 10x5 - 2 sources - read 20% (simple component)               , 842.86  
SolidJS                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 361.63  
SolidJS                , 1000x12 - 4 sources - dynamic (large web app)                , 465.29  
SolidJS                , 1000x5 - 25 sources (wide dense)                             , 677.23  
SolidJS                , 5x500 - 3 sources (deep)                                     , 237.20  
uSignal                , avoidablePropagation                                         , 451.02  
uSignal                , broadPropagation                                             , 439.64  
uSignal                , deepPropagation                                              , 147.06  
uSignal                , diamond                                                      , 312.99  
uSignal                , mux                                                          , 454.94  
uSignal                , repeatedObservers                                            , 58.11   
uSignal                , triangle                                                     , 100.49  
uSignal                , unstable                                                     , 60.96   
uSignal                , molBench                                                     , 382.72  
uSignal                , createDataSignals                                            , 40.97   
uSignal                , createComputations0to1                                       , 40.48   
uSignal                , createComputations1to1                                       , 43.11   
uSignal                , createComputations2to1                                       , 39.52   
uSignal                , createComputations4to1                                       , 40.95   
uSignal                , createComputations1000to1                                    , 38.29   
uSignal                , createComputations1to2                                       , 41.18   
uSignal                , createComputations1to4                                       , 40.95   
uSignal                , createComputations1to8                                       , 41.10   
uSignal                , createComputations1to1000                                    , 39.78   
uSignal                , updateComputations1to1                                       , 40.34   
uSignal                , updateComputations2to1                                       , 38.79   
uSignal                , updateComputations4to1                                       , 36.90   
uSignal                , updateComputations1000to1                                    , 35.62   
uSignal                , updateComputations1to2                                       , 37.75   
uSignal                , updateComputations1to4                                       , 37.35   
uSignal                , updateComputations1to1000                                    , 36.46   
uSignal                , 10x5 - 2 sources - read 20% (simple component)               , 250.62  
uSignal                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 298.22  
uSignal                , 1000x12 - 4 sources - dynamic (large web app)                , 374.52  
uSignal                , 1000x5 - 25 sources (wide dense)                             , 784.63  
uSignal                , 5x500 - 3 sources (deep)                                     , 227.38  
@vue/reactivity        , avoidablePropagation                                         , 274.52  
@vue/reactivity        , broadPropagation                                             , 217.10  
@vue/reactivity        , deepPropagation                                              , 85.99   
@vue/reactivity        , diamond                                                      , 222.71  
@vue/reactivity        , mux                                                          , 291.18  
@vue/reactivity        , repeatedObservers                                            , 38.52   
@vue/reactivity        , triangle                                                     , 66.34   
@vue/reactivity        , unstable                                                     , 48.16   
@vue/reactivity        , molBench                                                     , 621.71  
@vue/reactivity        , createDataSignals                                            , 41.40   
@vue/reactivity        , createComputations0to1                                       , 41.94   
@vue/reactivity        , createComputations1to1                                       , 43.63   
@vue/reactivity        , createComputations2to1                                       , 42.81   
@vue/reactivity        , createComputations4to1                                       , 40.14   
@vue/reactivity        , createComputations1000to1                                    , 38.88   
@vue/reactivity        , createComputations1to2                                       , 43.51   
@vue/reactivity        , createComputations1to4                                       , 42.50   
@vue/reactivity        , createComputations1to8                                       , 40.78   
@vue/reactivity        , createComputations1to1000                                    , 41.03   
@vue/reactivity        , updateComputations1to1                                       , 39.87   
